value	class_draft	evidence	source
EKĀKṢARAKOŚA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
EKĀKṢARAKOṢA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
EKĀKṢARĀBHIDHĀNA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
EKĀRTHASAṂGRAHA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ELLIOT	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
ERNST KUHN, KACCĀYANAPPAKARAṆAE Specimen	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:ERNST KUHN
ERNST WINDISCH	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Ebend.	person-western?	Latin-script surname pattern	no-bib-record
Eingang zum ṚV. PRĀT.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. z. ṚV.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu AIT. BR.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zu AV. PRĀT.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu BHĀG. P.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu BṚH. ĀR. UP.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu CAURAP.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zu DAŚAK.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu DAŚAR.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu GĪT.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu JAIM.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zu KAUṢ. UP.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu KAṆ.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu MAHĀBH.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu MṚCCH.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu NAIGH.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zu NIR.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zu NYĀYA-S.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu P.	person-western?	Latin-script surname pattern	no-bib-record
BOEHTL., Einl. zu P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:BOEHTL.
Einl. zu SV.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zu SĀṂKHYAPR.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu SŪRYAS.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu TAITT. ĀR.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu UṆĀDIS.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu VARĀH. BṚH. S.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu VP.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zu VS.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zu VĀMANA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu VĀSAV.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu VĀSAVAD.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu YĀJÑ.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu ŚĀK.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu ṚV.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zu ṚV. PRĀT.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zum AIT. BR.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zum DHĀTUP.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zum NIR.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zum SV.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zum ṚV.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zum ṚV. PRĀT.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
Einl. zur 1sten Ausgabe des Wörterb.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zur 1ten Ausg. d. Wört.	person-western?	Latin-script surname pattern	no-bib-record
Einl. zur 1ten Ausg. des Wörterbuchs	person-western?	Latin-script surname pattern	no-bib-record
Erklärern zu AK.	person-western?	Latin-script surname pattern	no-bib-record
Erll. zu NIR.	person-western?	Latin-script surname pattern	no-bib-record
Erll. zum NIR.	person-western?	Latin-script surname pattern	no-bib-record
Erll. zum NIRUKTA	person-western?	Latin-script surname pattern	no-bib-record
F. NEVEʼs Essay sur le mythe des Ribhavas	book-work	default: bib expansion with no person/periodical signal	no-bib-record
FOE-KOUE-KI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
FOUCAUX	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
FOUCAUXʼs Uebersetzung	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:FOUCAUX
FRITZE	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
G. BÜHLER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GADYARĀM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GADĀDHARA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GADĀDHARABHAṬṬĀCĀRYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GANARATNAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GARBHOP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GARBHOPAN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GARGA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GARUḌA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GARUḌA-P., PRETAKALPA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GARUḌA-P.
GAUNARDA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAURAGAṆODDEŚA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAURĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAUTAMA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAUTAMĪYATANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAUḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAUḌAP.	person-author	person descriptor in tooltip	pwgbib-exact
GAUḌAPĀDA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAYĀM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAYĀMĀHĀTMYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṄGEŚOPĀDHYĀYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṄGĀMĀH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṄGĀPRAÑĀMAMANTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṄGĀSTOTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṆABHEDA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṆAPATIMUHŪRTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṆAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṆARATN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṆARATNAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṆARATNAMAH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṆEŚA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṆEŚOPAP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṆIT. ADHIMĀS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. BHAGAṆ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. BHAGAṆĀDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. BHAGRAHAY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. BHAGRAHAYUTYADH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. CANDRAGR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. CANDRAGRAHAṆĀDHY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. GRAHACCH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. GRAHACCHĀY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. GRAHACCHĀYĀDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. GRAHAYUTY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. GRAHĀNAY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. GRAHĀNAYAN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. GRAHĀNAYANĀDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. KAKṢĀDHY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. KĀLAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. KĀLAMĀN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. MADHYAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. MADHYAMĀDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. PRATYABDAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. PĀTĀDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. SPAṢṬ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. SPAṢṬĀDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. SŪRYAGR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. SŪRYAGRAH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. TRIPR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. TRIPRAŚN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. ŚṚṄGONN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. ŚṚṄGONNATY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆIT. ŚṚṄGONNATYADH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆIT.
GAṆITĀDHY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GAṆITĀDHY. BHAGAṆĀDHY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆITĀDHY.
GAṆITĀDHY. BHAGRAHAYUTI	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆITĀDHY.
GAṆITĀDHY. BHAGRAHAYUTYADHY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆITĀDHY.
GAṆITĀDHY. PRATYABDAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆITĀDHY.
GAṆITĀDHY. TRIPRAŚNĀDHY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GAṆITĀDHY.
GAṆITĀDHY. UDAY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GHAṬ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GILD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GILDEMEISTER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GILD. Bibl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GILD. De rebus indicis etc.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GILD.
GILD. Scriptorum Arabum etc.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GILD.
GOBH.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
GOBHILA	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOBH
GOBH. BR.	journal-periodical	periodical keyword in tooltip	pwgbib-prefix:GOBH.
GOLD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOLDST.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOLDSTÜCKER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOLD. MĀN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOLDST. MĀN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLDST.
GOLDSTÜCKER, MĀN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLDSTÜCKER
GOLD. Wörterb.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLD.
GOLĀDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOLĀDHY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOLĀDHY. Anf.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOL. BHUVANAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOLĀDHY. BHUVANAK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOL. CHEDYAK.	book-work	default: bib expansion with no person/periodical signal	no-bib-record
GOL. GOLAB.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOLĀDHY. GOLAB.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOL. GRAHAṆAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOL. TRIPR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOL. TRIPRAŚNAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOLĀDHY. TRIPRAŚNAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOLĀDH. DṚKK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDH.
GOLĀDHY. DṚKK.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOLĀDHY. DṚKKARM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOLĀDHY. GOLASVAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOLĀDHY. GRAHAṆAV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOLĀDHY. MADHYAG.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOLĀDHY. SPHUṬAGATIV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOLĀDH. YANTRĀDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDH.
GOLĀDHY. YANTR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOLĀDHY. YANTRĀDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOLĀDHY. YANTRĀDHY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOLĀDHY. ŚṚṄGONNATIV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOLĀDHY.
GOP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOP. BR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOPATHA-BR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOP. UTT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOP.
GOPĀLATĀP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOPĀLATĀPANĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOPĀLOPANIṢAD	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GORRESIO	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOTAMA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOT. DH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOT. S.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOVARDH. ĀRYĀS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOVARDHANA, ĀRYĀSAPT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GOVARDHANA
GOVARDHANA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOVINDABH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOVINDAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOVINDARĀJA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GOYĪCANDRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GRAHALĀGHAVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GRAHAYAJÑAT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GRAHAYAJÑATATTVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GRIMM	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
J. GRIMM	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GRIMM, Gesch. der deutschen Sprache	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GRIMM
GRIMM, Wört.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GROHMANN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GUPTASĀDHANATANTRA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
GUTSCHMID	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GUṆARATNA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GUṆARATNAM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Gel. Anzz. d. k. b. Ak. d. Ww.	journal-periodical	periodical keyword in tooltip	pwgbib-exact
Gött. gel. Anz.	person-western?	Latin-script surname pattern	pwgbib-exact
Gött. gel. Anzz.	person-western?	Latin-script surname pattern	pwgbib-exact
Göttinger gelehrten Anzeigen	person-western?	Latin-script surname pattern	no-bib-record
GĀLAVA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GĀRGI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GĀRGYA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GĀR. P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GĀRUḌA-P.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GĀRUḌA-P., GAYĀMĀH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GĀRUḌA-P.
GĀYATRĪVYĀKHYĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GĪT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GĪTAG.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GĪT. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GĪT.
GĪT. LASS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:GĪT.
GŪḌHĀRTHADĪPIKĀ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GṚHYAPADDH.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GṚHYAS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
GṚHYASAṂGR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
H.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
H. an.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
H. ś.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HEM. ś.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HEM.
H. v. RHEEDE, Hortus Indicus Malabaricus	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAAS	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAEB.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAEB. Anth.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAEB. Anthol.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAEB. Chr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HAEB.
HAEB. Chrest.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HALL	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
F. E. HALL	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HALL, DAŚAR. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HALL
HALL, Einl. zu DAŚAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HALL
HALL, Introd.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HALL
HALL, VĀSAVAD. Einl.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HALL
HALL in der 2ten Aufl. von VP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HALL
HALĀY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HALĀY. Ind.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HALĀY.
HALĀYUDHA	book-work	default: bib expansion with no person/periodical signal	no-bib-record
HANUMANT	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HANUMATSTOTRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HARADATTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HARADĀSA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HARAVILĀSA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HARISV.	person-author	person descriptor in tooltip	pwgbib-exact
HARISVĀMIN	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HARIV.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HARIV. LANGL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HARIV.
HARIV. lith. Ausg.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HARIV.
HARṢACAR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HARṢACARITA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAUG	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAUG, AIT. BR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HAUG
HAUG, Essays	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAUGHT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAUGHTON	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAUGHTON, A Dict. BENG. and S.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAḌḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAḌḌAC.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAḌḌACANDRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAṬṬAC.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAṬṬACANDRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HAṂSANĀDOP.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HEM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HEMACANDRA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HEMAC.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HEM. DEŚĪN.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HEM.
HEM. YOGAŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HEM.
HEMĀDRI	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HEMĀDRĪYAVRATAKHAṆḌA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HERM. JACOBI	book-work	default: bib expansion with no person/periodical signal	no-bib-record
HEROD.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HESSLER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HIOUEN-THSANG	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HIOUENTHSANG	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HIT.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HIT. JOHNS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HIT.
HIT. ed. JOHNS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HIT. LASS.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HIT.
HIT. SCHL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HIT.
HIT. ed. SCHL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HIT. ed. MÜLL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HIT. ed. MÜLLER	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HIT.
HIT. ed. ŚRĪR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HIT.
HIT. Pr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
H. Pr.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:H.
HIḌ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HOEFER, Sanskrit-Lesebuch	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HOEFER, Vom Infinitiv	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HOEFER
HOEFER, Z. f. d. W. d. Sprache	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HOEFER
HÖFER, Leseb.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HOM.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HOMER	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HOMERʼs ILIAD	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HOMER
IL.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HORĀŚ.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
Halleʼsche Allg. Lit. Zeit.	person-western?	Latin-script surname pattern	no-bib-record
Hindu Th.	person-western?	Latin-script surname pattern	pwgbib-exact
Hist. de HIOUEN-THSANG	person-western?	Latin-script surname pattern	no-bib-record
Hist. de la vie de HIOUEN-THSANG	person-western?	Latin-script surname pattern	pwgbib-exact
Hist. of MED.	person-western?	Latin-script surname pattern	no-bib-record
History of the Sect of Mahārājas u. s. w.	person-western?	Latin-script surname pattern	no-bib-record
Hort. Beng.	person-western?	Latin-script surname pattern	pwgbib-exact
Hort. beng.	person-western?	Latin-script surname pattern	pwgbib-exact
HĀLA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HĀLA Anh.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HĀLA
HĀLAY.	book-work	default: bib expansion with no person/periodical signal	pwgbib-prefix:HĀLA
HĀR.	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HĀRĀVALĪ	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
HĀRĪTA	book-work	default: bib expansion with no person/periodical signal	pwgbib-exact
