ls_code	ls_code_raw	ls_code_base	book_no	volume	title	status	status_gloss	vedic_marked	shares_book_with_previous	citation_count	citation_count_safe	citation_count_provenance	citation_count_full	total_pages	volunteer	started	finished	issue_repo	issue_no	issue_url	index_posted	scan_dir	scan_dir_canonical	scan_spelling_ok	scan_url	scan_pages_url	scan_repo_exists	scan_repo_size_kb	scan_repo_pushed_at	scan_audit_note	public_link	in_pwgbib	dict_citations	dict_citations_key	count_ratio	edition_qualified	ru_subset_refs	ru_subset_scan	ru_match_key	resolver_repos	scan_wired	sheet_row_no
MBh. (Bomb.)	MBh. (Bomb.) vol.5	MBh.	7e	5	MBh. (Bomb. ed.) 1864 vol. v	done	index built, reviewed, and posted					inherited-family	67253	1023	@Azanuka2412		2025-03-21	PWK	84	https://github.com/sanskrit-lexicon/PWK/issues/84	2025-03-21	mbhbomb	mbhbomb	yes	https://github.com/sanskrit-lexicon-scans/mbhbomb	https://sanskrit-lexicon-scans.github.io/mbhbomb/	true	1694391	2025-07-16	Wired via uppercase 'MBH. ed. Bomb.' / bare 'MBH. n,n,n'. The tracker's mixed-case label 'MBh. (Bomb.)' resolves to None -- a label mismatch.		MBH.				yes	5	5	MBh.	mbhbomb	yes	
MBh. (Bomb.)	MBh. (Bomb.) vol.6	MBh.	7f	6	MBh. (Bomb. ed.) 1864 vol. vi	done	index built, reviewed, and posted					inherited-family	67253	705	@angalinde	2025-02-08	2025-02-23	PWK	84	https://github.com/sanskrit-lexicon/PWK/issues/84	2025-02-23	mbhbomb	mbhbomb	yes	https://github.com/sanskrit-lexicon-scans/mbhbomb	https://sanskrit-lexicon-scans.github.io/mbhbomb/	true	1694391	2025-07-16	Wired via uppercase 'MBH. ed. Bomb.' / bare 'MBH. n,n,n'. The tracker's mixed-case label 'MBh. (Bomb.)' resolves to None -- a label mismatch.		MBH.				yes	5	5	MBh.	mbhbomb	yes	
HIT.	HIT.	HIT.	8		HITOPADEŚA 1829 Schlegel & Lassen ed.	done	index built, reviewed, and posted			3364	3364	exact	3891	460	@grigoriyt1	2025-05-01	2025-06-02	PWG	152	https://github.com/sanskrit-lexicon/PWG/issues/152	2025-06-02	hitopadesha	hitopadesha	yes	https://github.com/sanskrit-lexicon-scans/hitopadesha	https://sanskrit-lexicon-scans.github.io/hitopadesha/	true	128070	2025-07-10	Exact match, public, Pages enabled.		HIT.	953	HIT.	3.53		225	224	HIT.	hitopadesha	yes	
AK. Deslongchamps ed.	AK. Deslongchamps ed. (2 vol.s)	AK. Deslongchamps ed.	29a	2 vols	AMARAKOṢA 1839 Deslongchamps ed.	done	index built, reviewed, and posted			16151	16151	exact	16166	818	@IrinaKonstant	2025-04-17	2025-04-18	PWG	62	https://github.com/sanskrit-lexicon/PWG/issues/62	2025-04-18	amara_dlc	amara_dlc	yes	https://github.com/sanskrit-lexicon-scans/amara_dlc	https://sanskrit-lexicon-scans.github.io/amara_dlc/	true	184444	2025-07-14	Exact match. Described as the Deslongchamps 1839 edition of the Amarakosha; paired with amara_col.		AK.									yes	
GĪT.	GĪT.	GĪT.	69		GĪTAGOVINDA	done	index built, reviewed, and posted			1140	1140	exact	1219	222	@grigoriyt1	2025-06-01	2025-06-22	PWG	153	https://github.com/sanskrit-lexicon/PWG/issues/153	2025-06-22	gitagov	gitagov	yes	https://github.com/sanskrit-lexicon-scans/gitagov	https://sanskrit-lexicon-scans.github.io/gitagov/	true	185886	2025-07-10	Exact match. A second Bhagavadgita edition alongside the bhagavadgita repo.		GĪT.	595	GĪT.	1.92		49	48	GĪT.	gitagov	yes	
AK. Colebrooke ed.	AK. Colebrooke ed.	AK. Colebrooke ed.	29b		AMARAKOṢA 1808 Colebrooke ed.	done	index built, reviewed, and posted					inherited-family	16166	680	@grigoriyt1	2025-06-23	2025-06-25	PWG	62	https://github.com/sanskrit-lexicon/PWG/issues/62	2025-06-25	amara_col	amara_col	yes	https://github.com/sanskrit-lexicon-scans/amara_col	https://sanskrit-lexicon-scans.github.io/amara_col/	true	705861	2025-07-14	Audited (H1714, 27-07-2026): confirmed BY DESIGN, not a live bug. pwg_scan_index tracker shows 16,151 citations under bare AK. (Deslongchamps, amara_dlc) and zero measured citations for Colebrooke under that same key -- no evidence PWG ever emits a bare AK. intending Colebrooke. COL./COLEBR./AK. ed. COLEBR. already correctly route to amara_col. No code change made.		AK.									mis-keyed	
PAÑCAR.	PAÑCAR.	PAÑCAR.	47		NĀRADA PAÑCARĀTRA	done	index built, reviewed, and posted			2221	2221	exact	2755	395	@IrinaKonstant	2025-04-06	2025-04-07	PWG	137	https://github.com/sanskrit-lexicon/PWG/issues/137	2025-04-07	pancar	pancar	yes	https://github.com/sanskrit-lexicon-scans/pancar	https://sanskrit-lexicon-scans.github.io/pancar/	true	187926	2025-07-19	Audited (H1714, 27-07-2026): 2-parameter citations still return None -- confirmed NOT a wiring gap. The pancar viewer's only apps are app1 (3 params: ratra,adhyaya,sloka) and app0 (page number); there is no natural 2-param target, and the canonical csl-app Dart source has the identical limitation. Fails closed by design, matching upstream.		PAÑCAR.					74	74	PAÑCAR.	pancar	partial	
VIKR.	VIKR.	VIKR.	62		VIKRAMORVAŚĪ	done	index built, reviewed, and posted			1560	1560	exact	1661	723	@OFar0101		2025-05-16	PWG	157	https://github.com/sanskrit-lexicon/PWG/issues/157	2025-07-20	vikramor	vikramor	yes	https://github.com/sanskrit-lexicon-scans/vikramor	https://sanskrit-lexicon-scans.github.io/vikramor/	true	370593	2025-08-12	"Exact match. Description is ""'Vikramorvaśī"" (stray leading apostrophe in the repo description itself, harmless). Untracked sibling vikramor_mw exists."		VIKR.	808	VIKR.	1.93		90	90	VIKR.	vikramor	yes	
AIT. BR.	★AIT. BR. (2 vol.s)	AIT. BR.	33	2 vols	AITAREYABRĀHMAṆA	done	index built, reviewed, and posted	yes		4545	4545	exact	5217	898	@IrinaKonstant	2025-06-03	2025-08-03	PWG	159	https://github.com/sanskrit-lexicon/PWG/issues/159	2025-08-03	aitbr	aitbr	yes	https://github.com/sanskrit-lexicon-scans/aitbr	https://sanskrit-lexicon-scans.github.io/aitbr/	true	354486	2025-08-16	Exact match. Described as AITAREYABRAHMANA. Untracked sibling aitbr_auf exists.		AIT. BR.	2458	AIT. BR.	1.85		258	257	AIT. BR.	aitbr;aitbr_auf	yes	
NIR.	★NIR.	NIR.	36		YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S	done	index built, reviewed, and posted	yes		3166	3166	exact	3712	552	@IrinaKonstant	2025-08-10	2025-09-01	PWG	167	https://github.com/sanskrit-lexicon/PWG/issues/167	2025-09-01	nirukta	nirukta	yes	https://github.com/sanskrit-lexicon-scans/nirukta	https://sanskrit-lexicon-scans.github.io/nirukta/	true	326558	2025-09-08	Exact match. Description 'nirukta link target' — confirms these repos exist to serve dictionary link targets.		NIR.	1945	NIR.	1.63		72	71	NIR.	nirukta	yes	
NAIGH.	★NAIGH.	NAIGH.	37		(Same book as 36 above) YĀSKA'S NIRUKTA zu Grunde liegende NAIGHAṆṬUKAKĀṆḌA	done	index built, reviewed, and posted	yes		1477	1417	near-miss	1456		@IrinaKonstant	2025-08-10	2025-09-01	PWG	167	https://github.com/sanskrit-lexicon/PWG/issues/167	2025-09-01	nirukta	nirukta	yes	https://github.com/sanskrit-lexicon-scans/nirukta	https://sanskrit-lexicon-scans.github.io/nirukta/	true	326558	2025-09-08	Exact match. Description 'nirukta link target' — confirms these repos exist to serve dictionary link targets.		NAIGH.	1227	NAIGH.	1.2		22	21	NAIGH.	nirukta	yes	
ṚV. PRĀT.	★ṚV. PRĀT. (2 vol.s)	ṚV. PRĀT.	58	2 vols	RigVeda, Uebersetzung des Prâtisâkhya (1856 & 1869) Max Muller	done	index built, reviewed, and posted	yes		1755	1755	exact	1780	746	@IrinaKonstant		2026-01-09	PWG	173	https://github.com/sanskrit-lexicon/PWG/issues/173	2026-01-09	rvps	rvps	yes	https://github.com/sanskrit-lexicon-scans/rvps	https://sanskrit-lexicon-scans.github.io/rvps/	true	568309	2026-06-26	FIXED (H1714, gasyoun/SanskritLexicography#840, 27-07-2026): both the diacritic 'RV. PRATIS.' and undotted 'RV. PRAT.' spellings now route directly to https://sanskrit-lexicon-scans.github.io/rvps/app1/?patala,sutra, placed above the generic RV. patterns so they win the first-match scan.		ṚV. PRĀT.	788	ṚV. PRĀT.	2.23		51	0	ṚV. PRĀT.		yes	
ŚĀṄKH. ŚR.	★ŚĀṄKH. ŚR. (4 vol.s)	ŚĀṄKH. ŚR.	48	4 vols	ŚĀṄKHĀYANA'S ŚRAUTASŪTRĀṆI	on-going	reserved and in progress	yes		2095	2095	exact	2728	1586	@grigoriyt1																	ŚĀṄKH. ŚR.					134	0	ŚĀṄKH. ŚR.			
VS. PRĀT.	★VS. PRĀT.	VS. PRĀT.	72		PRĀTIŚĀKHYA zur VĀJASANEYISAM̃HITĀ	on-going	reserved and in progress	yes		1047	1047	exact	1058	261	@IrinaKonstant	2026-01-14		PWG	139	https://github.com/sanskrit-lexicon/PWG/issues/139												VS. PRĀT.	419	VS. PRĀT.	2.5		30	0	VS. PRĀT.			
DHĀTUP.	DHĀTUP.	DHĀTUP.	40		DHĀTUPĀṬHA in WESTERGAARD'S Radices	on-going	reserved and in progress			2756	2756	exact	2760		@AnnaRybakovaT																	DHĀTUP.	1974	DHĀTUP.	1.4		111	110	DHĀTUP.	www.sanskrit-lexicon.uni-koeln.de		
ĀŚV. ŚR.	★ĀŚV. ŚR.	ĀŚV. ŚR.	56		ĀŚVALĀYANA'S ŚRAUTASŪTRĀṆI	to-do	unclaimed, no volunteer assigned	yes		1835	1835	exact	2295	1058																		ĀŚV. ŚR.	890	ĀŚV. ŚR.	2.06		68	0	ĀŚV. ŚR.			
PAÑCAV. BR.	★PAÑCAV. BR. (2 vol.s)	PAÑCAV. BR.	59	2 vols	PAÑCAVIṂŚABRĀHMAṆA	to-do	unclaimed, no volunteer assigned	yes		1729	1729	exact	2242	1876																		PAÑCAV. BR.					82	0	PAÑCAV. BR.			
CHĀND. UP.	★CHĀND. UP.	CHĀND. UP.	60		CHĀNDOGYOPANIṢAD	to-do	unclaimed, no volunteer assigned	yes		1696	1696	exact	1879	646																		CHĀND. UP.	932	CHĀND. UP.	1.82		167	0	CHĀND. UP.			
VYUTP.	VYUTP.	VYUTP.	61		VYUTPATTI oder MAHĀVYUTPATTI	to-do	unclaimed, no volunteer assigned			1670	1670	exact	1741	290																		VYUTP.	1341	VYUTP.	1.25		5	0	VYUTP.			
ĀŚV. GṚHY.	★ĀŚV. GṚHY.	ĀŚV. GṚHY.	63		ĀŚVALĀYANA'S GṚHYASŪTRĀṆI	to-do	unclaimed, no volunteer assigned	yes		1453	1453	exact	1742	452																		ĀŚV. GṚHY.	738	ĀŚV. GṚHY.	1.97		102	0	ĀŚV. GṚHY.			
KĀṬH.	★KĀṬH.	KĀṬH.	64		KĀṬHAKA-Recension des YĀJ. V.	to-do	unclaimed, no volunteer assigned	yes		1316	1316	exact	1529	935																		KĀṬH.	651	KĀṬH.	2.02		57	0	KĀṬH.			
ŚIŚ.	ŚIŚ.	ŚIŚ.	65		ŚIŚUPĀLAVADHA	to-do	unclaimed, no volunteer assigned			1299	1299	exact	1353	776																		ŚIŚ.	595	ŚIŚ.	2.18		78	0	ŚIŚ.			
RĀJAN.	RĀJAN.	RĀJAN.	20		RĀJANIRGHAṆṬA, ein medicinisches Wörterbuch	nr-indirect	not required -- cited only indirectly			6783	6783	exact	6792																			RĀJAN.	642	RĀJAN.	10.57		9	0	RĀJAN.			
ŚABDAR.	ŚABDAR.	ŚABDAR.	38		ŚABDARATNĀVALĪ, ein Wörterbuch	nr-indirect	not required -- cited only indirectly			3128	3128	exact	3128																			ŚABDAR.					1	0	ŚABDAR.			
Ind. St.	Ind. St. (18 vol.s)	Ind. St.	22	18 vols	WEBER'S Indische Studien	page-wise	cited page-wise; no per-entry index needed			6347	6347	exact	7686																			Ind. St.	2392	Ind. St.	2.65		83	0	Ind. St.			
SUŚR.	SUŚR. (2 vol.s)	SUŚR.	32	2 vols	SUŚRUTA, ed. Calc. (GILD. Bibl. 367)	page-wise	cited page-wise; no per-entry index needed			12442	12442	exact	20305																			SUŚR.	5976	SUŚR.	2.08		277	0	SUŚR.			
Verz. d. B. H.	Verz. d. B. H.	Verz. d. B. H.	34		WEBER'S Verzeichniss der Berliner Sanskrit Handschriften	page-wise	cited page-wise; no per-entry index needed			3884	3884	exact	4675																			Verz. d. B. H.	329	Verz. d. B. H.	11.81		1	0	Verz. d. B. H.			
VP.	VP.	VP.	35		VIṢṆUPURĀṆA 1840 WILSON's ed.	page-wise	cited page-wise; no per-entry index needed			3697	3697	exact	4128																			VP.	1413	VP.	2.62		9	0	VP.			
PRAB.	PRAB.	PRAB.	41		PRABODHACANDRODAYA, ed. BROCKHAUS	page-wise	cited page-wise; no per-entry index needed			2659	2659	exact	2834																			PRAB.	1142	PRAB.	2.33		163	0	PRAB.			
SARVADARŚANAS.	SARVADARŚANAS.	SARVADARŚANAS.	42		SARVADARŚANASAṄGRAHA	page-wise	cited page-wise; no per-entry index needed			2616	2616	exact	4171																			SARVADARŚANAS.	1446	SARVADARŚANAS.	1.81		106	0	SARVADARŚANAS.			
COLEBR. Misc. Ess. (1st ed.)	COLEBR. Misc. Ess. (1st ed.)	COLEBR. Misc. Ess.	46		COLEBROOKE'S Miscellaneous Essays (2 vol.s)	page-wise	cited page-wise; no per-entry index needed			2334	2334	exact	2773																			COLEBR. Misc. Ess.				yes	2	0	COLEBR. Misc. Ess.			
HALL	HALL	HALL	49		A contribution towards an index to the Bibliography of the Indian philosophical systems	page-wise	cited page-wise; no per-entry index needed			2077	2077	exact	2541																			HALL	1200	HALL	1.73		10	0	HALL			
DAŚAK.	DAŚAK.	DAŚAK.	55		DAŚAKUMĀRACARITA (1846)	page-wise	cited page-wise; no per-entry index needed			1843	1843	exact	1905																			DAŚAK.	594	DAŚAK.	3.1		78	0	DAŚAK.			
MṚCCH.	MṚCCH.	MṚCCH.	57		MṚCCHAKAṬIKĀ (1846)	page-wise	cited page-wise; no per-entry index needed			1787	1787	exact	1996																			MṚCCH.	1088	MṚCCH.	1.64		140	0	MṚCCH.			
NĪLAK.	NĪLAK.	NĪLAK.	68		A rational refutation of the Hindu philosophy	page-wise	cited page-wise; no per-entry index needed			1194	1194	exact	1269																			NĪLAK.	118	NĪLAK.	10.12		9	0	NĪLAK.			
WILSON, Sel. Works (1st ed.)	WILSON, Sel. Works (1st ed.)	WILSON, Sel. Works	71		Selected Works of H.H. Wilson (2 vol.s)	page-wise	cited page-wise; no per-entry index needed			1065	1065	exact	1428																			WILSON, Sel. Works				yes	1	0	WILSON, Sel. Works			
